時間,使用者,類型,描述,IP位址,結果,風險等級
"2025-08-31 16:09:52",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 16:52:22",系統管理員,user_logout,使用者登出系統,172.19.0.1,success,低
"2025-08-31 16:52:24",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 16:54:57",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 17:07:32",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 17:14:21",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 17:19:44",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-31 17:21:48",系統,cache_missed,"系統事件: cache_missed",172.19.0.1,success,低
"2025-08-31 17:21:48",系統,view_activity_logs,"執行操作: view_activity_logs",172.19.0.1,success,低
"2025-08-31 17:21:50",系統,view_activity_stats,"執行操作: view_activity_stats",172.19.0.1,success,低
"2025-08-31 17:21:53",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:04",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:05",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:06",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:07",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:07",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:22:08",系統,cache_hit,"系統事件: cache_hit",172.19.0.1,success,低
"2025-08-31 17:27:31",系統,view_activity_logs,"執行操作: view_activity_logs",172.19.0.1,success,低
"2025-08-31 17:27:47",系統管理員,export_data,匯出活動記錄,172.19.0.1,success,低
"2025-08-31 17:27:52",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:27:54",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:27:56",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:28:03",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:28:05",系統,view_activity_stats,"執行操作: view_activity_stats",172.19.0.1,success,低
"2025-08-31 17:28:06",系統,view_activity_stats,"執行操作: view_activity_stats",172.19.0.1,success,低
"2025-08-31 17:28:09",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:29:24",系統,server_error,"HTTP 錯誤：500 - GET admin/activities",172.19.0.1,warning,低
"2025-08-31 17:31:15",系統,view_activity_export,"執行操作: view_activity_export",172.19.0.1,success,低
"2025-08-31 17:31:22",系統管理員,download_export,下載活動記錄匯出檔案,172.19.0.1,success,低
"2025-08-31 17:31:22",系統,download_activity_export,"執行操作: download_activity_export",172.19.0.1,success,低
"2025-08-31 17:31:44",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
