"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"76","2025-08-26 10:48:27","server_error","HTTP 錯誤：500 - GET admin/activities/security","security","172.19.0.1","警告","低","","系統","",""
"77","2025-08-26 10:48:27","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"70","2025-08-26 10:48:26","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"71","2025-08-26 10:48:26","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""zh_TW"",""updated_at"":""2025-08-26 10:48:26""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"72","2025-08-26 10:48:26","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"73","2025-08-26 10:48:26","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"67","2025-08-26 10:48:25","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"68","2025-08-26 10:48:25","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""en"",""updated_at"":""2025-08-26 10:48:25""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"69","2025-08-26 10:48:25","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"64","2025-08-26 10:48:22","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"65","2025-08-26 10:48:22","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""zh_TW"",""updated_at"":""2025-08-26 10:48:22""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"66","2025-08-26 10:48:22","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"59","2025-08-26 10:48:20","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"60","2025-08-26 10:48:20","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"61","2025-08-26 10:48:20","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""en"",""updated_at"":""2025-08-26 10:48:20""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"62","2025-08-26 10:48:20","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"63","2025-08-26 10:48:20","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"57","2025-08-26 10:48:19","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"58","2025-08-26 10:48:19","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"55","2025-08-26 10:48:18","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"56","2025-08-26 10:48:18","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"53","2025-08-26 10:48:17","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"54","2025-08-26 10:48:17","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
